[ Valid | 028/300 ] loss = 1.16607, acc = 0.59802
[ Valid | 029/300 ] loss = 1.15680, acc = 0.60262
[ Valid | 030/300 ] loss = 1.41021, acc = 0.55844
[ Valid | 031/300 ] loss = 1.23370, acc = 0.58759
[ Valid | 032/300 ] loss = 1.04575, acc = 0.63541 -> best
[ Valid | 033/300 ] loss = 1.00876, acc = 0.64051 -> best
[ Valid | 034/300 ] loss = 0.89849, acc = 0.67514 -> best
[ Valid | 035/300 ] loss = 0.90924, acc = 0.67566 -> best
[ Valid | 036/300 ] loss = 0.87001, acc = 0.68528 -> best
[ Valid | 037/300 ] loss = 0.87065, acc = 0.69143 -> best
[ Valid | 038/300 ] loss = 0.83842, acc = 0.70211 -> best
[ Valid | 039/300 ] loss = 0.83253, acc = 0.70437 -> best
[ Valid | 040/300 ] loss = 0.83627, acc = 0.70213
[ Valid | 041/300 ] loss = 1.43238, acc = 0.53620
[ Valid | 042/300 ] loss = 1.32388, acc = 0.55830
[ Valid | 043/300 ] loss = 1.27375, acc = 0.58640
[ Valid | 044/300 ] loss = 1.58939, acc = 0.52107
[ Valid | 045/300 ] loss = 1.72361, acc = 0.49020
[ Valid | 046/300 ] loss = 1.06788, acc = 0.62214
[ Valid | 047/300 ] loss = 1.18985, acc = 0.60983
[ Valid | 048/300 ] loss = 1.08875, acc = 0.61917
[ Valid | 049/300 ] loss = 1.06118, acc = 0.64504
[ Valid | 050/300 ] loss = 0.95747, acc = 0.66731
[ Valid | 051/300 ] loss = 0.90684, acc = 0.68195
[ Valid | 052/300 ] loss = 0.87202, acc = 0.70013
[ Valid | 053/300 ] loss = 0.93906, acc = 0.67779
[ Valid | 054/300 ] loss = 0.80193, acc = 0.70607 -> best
[ Valid | 055/300 ] loss = 0.79160, acc = 0.71186 -> best
[ Valid | 056/300 ] loss = 0.77883, acc = 0.71814 -> best
[ Valid | 057/300 ] loss = 0.77389, acc = 0.72829 -> best
[ Valid | 058/300 ] loss = 0.75496, acc = 0.72865 -> best
[ Valid | 059/300 ] loss = 0.74804, acc = 0.72803
[ Valid | 060/300 ] loss = 0.74740, acc = 0.73089 -> best
[ Valid | 061/300 ] loss = 1.05806, acc = 0.64018
[ Valid | 062/300 ] loss = 1.09765, acc = 0.62006
[ Valid | 063/300 ] loss = 1.10233, acc = 0.62909
[ Valid | 064/300 ] loss = 1.04868, acc = 0.63868
[ Valid | 065/300 ] loss = 0.95292, acc = 0.67479
[ Valid | 066/300 ] loss = 1.11575, acc = 0.62881
[ Valid | 067/300 ] loss = 1.03779, acc = 0.64226
[ Valid | 068/300 ] loss = 1.00980, acc = 0.65131
[ Valid | 069/300 ] loss = 1.08462, acc = 0.65043
[ Valid | 070/300 ] loss = 0.85972, acc = 0.70070
[ Valid | 071/300 ] loss = 0.76811, acc = 0.72262
[ Valid | 072/300 ] loss = 0.83188, acc = 0.70851
[ Valid | 073/300 ] loss = 0.76456, acc = 0.72656
[ Valid | 074/300 ] loss = 0.75170, acc = 0.73222 -> best
[ Valid | 075/300 ] loss = 0.77414, acc = 0.73473 -> best
[ Valid | 076/300 ] loss = 0.72702, acc = 0.73917 -> best
[ Valid | 077/300 ] loss = 0.71677, acc = 0.74603 -> best
[ Valid | 078/300 ] loss = 0.72152, acc = 0.74547
[ Valid | 079/300 ] loss = 0.71444, acc = 0.75063 -> best
[ Valid | 080/300 ] loss = 0.71011, acc = 0.74851
[ Valid | 081/300 ] loss = 1.39186, acc = 0.59446
[ Valid | 082/300 ] loss = 0.99500, acc = 0.64974
[ Valid | 083/300 ] loss = 0.93956, acc = 0.67575
[ Valid | 084/300 ] loss = 0.85617, acc = 0.68236
[ Valid | 085/300 ] loss = 0.88961, acc = 0.69370
[ Valid | 086/300 ] loss = 0.87600, acc = 0.68444
[ Valid | 087/300 ] loss = 1.17790, acc = 0.62599
[ Valid | 088/300 ] loss = 1.11328, acc = 0.65212
[ Valid | 089/300 ] loss = 1.08613, acc = 0.64312
[ Valid | 090/300 ] loss = 0.79100, acc = 0.72299
[ Valid | 091/300 ] loss = 0.83565, acc = 0.72192
[ Valid | 092/300 ] loss = 0.86681, acc = 0.71540
[ Valid | 093/300 ] loss = 0.71886, acc = 0.73795
[ Valid | 094/300 ] loss = 0.74262, acc = 0.74517
[ Valid | 095/300 ] loss = 0.73165, acc = 0.74452
[ Valid | 096/300 ] loss = 0.70839, acc = 0.75258 -> best
[ Valid | 097/300 ] loss = 0.68889, acc = 0.75360 -> best
[ Valid | 098/300 ] loss = 0.68262, acc = 0.75659 -> best
[ Valid | 099/300 ] loss = 0.68738, acc = 0.75776 -> best
[ Valid | 100/300 ] loss = 0.67865, acc = 0.75662
[ Valid | 101/300 ] loss = 1.20283, acc = 0.63485
[ Valid | 102/300 ] loss = 1.49968, acc = 0.58267
[ Valid | 103/300 ] loss = 0.92784, acc = 0.69253
[ Valid | 104/300 ] loss = 1.06607, acc = 0.65497
[ Valid | 105/300 ] loss = 0.97777, acc = 0.66573
[ Valid | 106/300 ] loss = 0.89719, acc = 0.70578
[ Valid | 107/300 ] loss = 0.82460, acc = 0.71453
[ Valid | 108/300 ] loss = 0.83863, acc = 0.71815
[ Valid | 109/300 ] loss = 1.04327, acc = 0.66303
[ Valid | 110/300 ] loss = 0.75757, acc = 0.74338
[ Valid | 111/300 ] loss = 0.74250, acc = 0.73320
[ Valid | 112/300 ] loss = 0.81547, acc = 0.72170
[ Valid | 113/300 ] loss = 0.71757, acc = 0.74791
[ Valid | 114/300 ] loss = 0.72113, acc = 0.74965
[ Valid | 115/300 ] loss = 0.69498, acc = 0.75603
[ Valid | 116/300 ] loss = 0.69597, acc = 0.76747 -> best
[ Valid | 117/300 ] loss = 0.69618, acc = 0.76017
[ Valid | 118/300 ] loss = 0.68073, acc = 0.76652
[ Valid | 119/300 ] loss = 0.67106, acc = 0.76802 -> best
[ Valid | 120/300 ] loss = 0.67769, acc = 0.76721
[ Valid | 121/300 ] loss = 0.94459, acc = 0.69405
[ Valid | 122/300 ] loss = 1.02976, acc = 0.67346
[ Valid | 123/300 ] loss = 1.23501, acc = 0.61814
[ Valid | 124/300 ] loss = 0.92222, acc = 0.68795
[ Valid | 125/300 ] loss = 1.32600, acc = 0.61638
[ Valid | 126/300 ] loss = 0.87221, acc = 0.71780
[ Valid | 127/300 ] loss = 0.82613, acc = 0.73293
[ Valid | 128/300 ] loss = 0.85593, acc = 0.71182
[ Valid | 129/300 ] loss = 0.86222, acc = 0.72055
[ Valid | 130/300 ] loss = 0.78611, acc = 0.73774
[ Valid | 131/300 ] loss = 0.82301, acc = 0.73012
[ Valid | 132/300 ] loss = 0.72339, acc = 0.74907
[ Valid | 133/300 ] loss = 0.76170, acc = 0.75090
[ Valid | 134/300 ] loss = 0.70042, acc = 0.76862 -> best
[ Valid | 135/300 ] loss = 0.71468, acc = 0.76172
[ Valid | 136/300 ] loss = 0.68501, acc = 0.77224 -> best
[ Valid | 137/300 ] loss = 0.69397, acc = 0.77046
[ Valid | 138/300 ] loss = 0.68565, acc = 0.76984
[ Valid | 139/300 ] loss = 0.68120, acc = 0.76844
[ Valid | 140/300 ] loss = 0.68339, acc = 0.77133
[ Valid | 141/300 ] loss = 1.15672, acc = 0.65550
[ Valid | 142/300 ] loss = 1.17462, acc = 0.66853
[ Valid | 143/300 ] loss = 1.03488, acc = 0.67570
[ Valid | 144/300 ] loss = 0.93766, acc = 0.69224
[ Valid | 145/300 ] loss = 1.31901, acc = 0.62632
[ Valid | 146/300 ] loss = 0.91012, acc = 0.71838
[ Valid | 147/300 ] loss = 0.79804, acc = 0.73105
[ Valid | 148/300 ] loss = 0.83331, acc = 0.72316
[ Valid | 149/300 ] loss = 0.77744, acc = 0.74463
[ Valid | 150/300 ] loss = 0.79774, acc = 0.74124
[ Valid | 151/300 ] loss = 0.76039, acc = 0.75535
[ Valid | 152/300 ] loss = 0.74544, acc = 0.75418
[ Valid | 153/300 ] loss = 0.73405, acc = 0.75931
[ Valid | 154/300 ] loss = 0.73238, acc = 0.76627
[ Valid | 155/300 ] loss = 0.69240, acc = 0.77112
[ Valid | 156/300 ] loss = 0.67976, acc = 0.77646 -> best
[ Valid | 157/300 ] loss = 0.68026, acc = 0.78396 -> best
[ Valid | 158/300 ] loss = 0.69263, acc = 0.77829
[ Valid | 159/300 ] loss = 0.68675, acc = 0.77946
[ Valid | 160/300 ] loss = 0.68210, acc = 0.78186
